Symbol,Date,Dividends
MHK,23/12/2025,2.45
MHK,23/3/2026,2.51
MHK,23/6/2026,2.58
MHK,23/9/2026,2.62
MHK,23/12/2026,2.67
AAPL,15/2/2025,0.89
AAPL,15/5/2025,0.91
AAPL,15/8/2025,0.93
AAPL,15/11/2025,0.95
AAPL,15/2/2026,0.97
MSFT,10/3/2025,2.72
MSFT,10/6/2025,2.78
MSFT,10/9/2025,2.84
MSFT,10/12/2025,2.91
MSFT,10/3/2026,2.98
JPM,31/1/2025,1.05
JPM,30/4/2025,1.08
JPM,31/7/2025,1.12
JPM,31/10/2025,1.15
JPM,31/1/2026,1.18
JNJ,7/3/2025,2.95
JNJ,6/6/2025,3.02
JNJ,5/9/2025,3.08
JNJ,5/12/2025,3.15
JNJ,6/3/2026,3.22
PG,15/2/2025,3.48
PG,15/5/2025,3.55
PG,15/8/2025,3.63
PG,15/11/2025,3.71
PG,15/2/2026,3.78
V,12/3/2025,1.52
V,11/6/2025,1.58
V,10/9/2025,1.64
V,9/12/2025,1.71
V,11/3/2026,1.77
