month,product_a,product_b,product_c,product_d,product_e,product_f,product_g
January,4200,3100,2800,5500,1900,3300,2400
February,3800,2900,3200,4900,2100,3000,2700
March,5100,4200,3700,6000,2600,3900,3100
April,6200,5300,4800,6800,3400,4500,4100
May,7400,6100,5600,7900,4000,5300,4900
June,8900,7500,6300,9100,4700,6000,5800
July,9200,8000,7100,9600,5200,6600,6400
August,8600,7200,6700,9000,4800,6100,5900
September,7100,6400,5900,7700,4100,5400,5100
October,6500,5800,5100,7200,3700,4900,4600
November,7800,6900,6200,8300,4400,5700,5500
December,9500,8700,7900,10200,5900,7400,7100
